,Date,Ticker,Company,TTM_NetIncome,Shareholders_Equity,Return_on_Equity,Total_Assets,Return_On_Assets,LT_Investments_Debt,Return_on_Investment,Shares_Outstanding,TTM_Revenue,TTM_Gross_Profit,Gross_Margin,Net_Margin
5,2020-12-31,ABC,amerisourcebergen,-3220000000.0,-510000000.0,-2.0389,45850000000.0,-0.0745,3130000000.0,-0.9318000000000001,207000000.0,194550000000.0,5410000000.0,0.0278,-0.0166
6,2020-09-30,ABC,amerisourcebergen,-3410000000.0,-840000000.0,-1.3771,44280000000.0,-0.0816,2780000000.0,-0.8418000000000001,205000000.0,189900000000.0,5190000000.0,0.0273,-0.018000000000000002
7,2020-06-30,ABC,amerisourcebergen,1570000000.0,3970000000.0,0.4572,40790000000.0,0.0388,7590000000.0,0.15990000000000001,206000000.0,186290000000.0,5030000000.0,0.027000000000000003,0.0084
8,2020-03-31,ABC,amerisourcebergen,1580000000.0,3710000000.0,0.4918,42040000000.0,0.039599999999999996,7330000000.0,0.161,207000000.0,186160000000.0,5040000000.0,0.027000000000000003,0.0085
9,2019-12-31,ABC,amerisourcebergen,650000000.0,3070000000.0,0.213,40020000000.0,0.0166,6710000000.0,0.1243,208000000.0,182060000000.0,5070000000.0,0.0279,0.0036
10,2019-09-30,ABC,amerisourcebergen,860000000.0,2990000000.0,0.2783,39170000000.0,0.022000000000000002,7350000000.0,0.149,212000000.0,179590000000.0,5140000000.0,0.0286,0.0048
11,2019-06-30,ABC,amerisourcebergen,960000000.0,3110000000.0,0.3094,38480000000.0,0.0248,7450000000.0,0.1445,211000000.0,177250000000.0,4990000000.0,0.0281,0.0054
12,2019-03-31,ABC,amerisourcebergen,930000000.0,3040000000.0,0.2969,38810000000.0,0.0241,7400000000.0,0.14029999999999998,213000000.0,175150000000.0,4970000000.0,0.028399999999999998,0.0053
13,2018-12-31,ABC,amerisourcebergen,1190000000.0,3170000000.0,0.3703,39270000000.0,0.031,7680000000.0,0.1932,214000000.0,172870000000.0,4800000000.0,0.0278,0.0069
14,2018-09-30,ABC,amerisourcebergen,1660000000.0,3050000000.0,0.5278,37670000000.0,0.044000000000000004,7560000000.0,0.1868,220000000.0,167940000000.0,4610000000.0,0.0275,0.009899999999999999
15,2018-06-30,ABC,amerisourcebergen,1080000000.0,3280000000.0,0.37310000000000004,38310000000.0,0.0291,7850000000.0,0.15810000000000002,221000000.0,163760000000.0,4750000000.0,0.028999999999999998,0.0066
16,2018-03-31,ABC,amerisourcebergen,850000000.0,3360000000.0,0.3146,38400000000.0,0.0236,8000000000.0,0.1351,222000000.0,159330000000.0,4620000000.0,0.028999999999999998,0.0054
17,2017-12-31,ABC,amerisourcebergen,980000000.0,2880000000.0,0.39030000000000004,36360000000.0,0.0278,7490000000.0,0.16570000000000001,221000000.0,155440000000.0,4620000000.0,0.0297,0.0063
18,2017-09-30,ABC,amerisourcebergen,360000000.0,2060000000.0,0.1567,35320000000.0,0.0105,5850000000.0,0.1728,222000000.0,153140000000.0,4550000000.0,0.0297,0.0024
19,2017-06-30,ABC,amerisourcebergen,850000000.0,2550000000.0,0.36619999999999997,34650000000.0,0.025,6340000000.0,0.2302,222000000.0,151580000000.0,4500000000.0,0.0297,0.005600000000000001
